Date,YANG_Close,VIX_Close,Interest_Rate
2020-01-02,628.5525512695312,12.470000267028809,
2020-01-03,668.7813720703125,14.020000457763672,
2020-01-06,659.119384765625,13.850000381469727,
2020-01-07,662.281494140625,13.789999961853027,
2020-01-08,666.3218994140625,13.449999809265137,
2020-01-09,647.1736450195312,12.539999961853027,
2020-01-10,642.4307250976562,12.5600004196167,
2020-01-13,609.931396484375,12.319999694824219,
2020-01-14,628.2012939453125,12.390000343322754,
2020-01-15,636.9848022460938,12.420000076293945,
2020-01-16,625.9174194335938,12.319999694824219,
2020-01-17,617.6609497070312,12.100000381469727,
2020-01-21,702.158935546875,12.850000381469727,
2020-01-22,681.2540283203125,12.90999984741211,
2020-01-23,706.0237426757812,12.979999542236328,
2020-01-24,734.6580810546875,14.5600004196167,
2020-01-27,823.8992919921875,18.229999542236328,
2020-01-28,807.561767578125,16.280000686645508,
2020-01-29,789.8189697265625,16.389999389648438,
2020-01-30,816.8723754882812,15.489999771118164,
2020-01-31,876.9520263671875,18.84000015258789,
2020-02-03,854.2904663085938,17.969999313354492,
2020-02-04,784.5487670898438,16.049999237060547,
2020-02-05,773.8329467773438,15.149999618530273,
2020-02-06,759.0765380859375,14.960000038146973,
2020-02-07,782.7921752929688,15.470000267028809,
2020-02-10,765.9276733398438,15.039999961853027,
2020-02-11,722.5368041992188,15.180000305175781,
2020-02-12,693.3753662109375,13.739999771118164,
2020-02-13,719.7261352539062,14.149999618530273,
2020-02-14,722.0098266601562,13.680000305175781,
2020-02-18,729.2122802734375,14.829999923706055,
2020-02-19,714.2801513671875,14.380000114440918,
2020-02-20,733.428466796875,15.5600004196167,
2020-02-21,737.8201904296875,17.079999923706055,
2020-02-24,812.4805297851562,25.030000686645508,
2020-02-25,837.4259033203125,27.850000381469727,
2020-02-26,802.6430053710938,27.559999465942383,
2020-02-27,818.4534301757812,39.15999984741211,
2020-02-28,804.2240600585938,40.11000061035156,
2020-03-02,780.8597412109375,33.41999816894531,
2020-03-03,795.4404907226562,36.81999969482422,
2020-03-04,769.2655029296875,31.989999771118164,
2020-03-05,778.2246704101562,39.619998931884766,
2020-03-06,827.58837890625,41.939998626708984,
2020-03-09,925.2616577148438,54.459999084472656,
2020-03-10,817.7507934570312,47.29999923706055,
2020-03-11,898.7353515625,53.900001525878906,
2020-03-12,1105.6763916015625,75.47000122070312,
2020-03-13,933.6940307617188,57.83000183105469,
2020-03-16,1176.998779296875,82.69000244140625,
2020-03-17,988.1519775390625,75.91000366210938,
2020-03-18,1140.810546875,76.44999694824219,
2020-03-19,1150.82373046875,72.0,
2020-03-20,1115.865478515625,66.04000091552734,
2020-03-23,1105.85205078125,61.59000015258789,
2020-03-24,884.1044311523438,61.66999816894531,
2020-03-25,844.509765625,63.95000076293945,
2020-03-26,772.5355834960938,61.0,
2020-03-27,903.4618530273438,65.54000091552734,
2020-03-30,810.0182495117188,57.08000183105469,
2020-03-31,798.0519409179688,53.540000915527344,
2020-04-01,895.7188110351562,57.060001373291016,0.05
2020-04-02,794.0045776367188,50.90999984741211,0.05
2020-04-03,819.6970825195312,46.79999923706055,0.05
