Date,US_QQQ_Close,KR_KODEX_Close,CN_ASHR_Close
2020-01-02,208.31756591796875,25786.37890625,27.725982666015625
2020-01-03,206.40936279296875,25782.005859375,27.386964797973633
2020-01-06,207.73928833007812,25585.09765625,27.432777404785156
2020-01-07,207.71041870117188,25843.267578125,27.57938003540039
2020-01-08,209.27162170410156,25676.984375,27.58854103088379
2020-01-09,211.04489135742188,26105.810546875,27.735139846801758
2020-01-10,210.50518798828125,26320.224609375,27.735139846801758
2020-01-13,212.93377685546875,26591.521484375,28.29405975341797
2020-01-14,212.09535217285156,26718.419921875,28.07415771484375
2020-01-15,212.18206787109375,26560.888671875,27.863420486450195
2020-01-16,214.2154998779297,26832.185546875,27.890907287597656
2020-01-17,215.27561950683594,26893.455078125,28.04667091369629
2020-01-20,215.27561950683594,27094.73046875,28.04667091369629
2020-01-21,215.17921447753906,26792.810546875,27.130413055419922
2020-01-22,215.74778747558594,27147.248046875,27.167062759399414
2020-01-23,216.4416961669922,26792.810546875,26.57149314880371
2020-01-24,214.62030029296875,26792.810546875,26.223316192626953
2020-01-27,210.1871795654297,26792.810546875,24.84893035888672
2020-01-28,213.41561889648438,25978.916015625,24.885578155517578
2020-01-29,213.76258850097656,26066.431640625,25.02301788330078
2020-01-30,214.52391052246094,25575.51953125,24.674840927124023
2020-01-31,211.1219940185547,25303.76171875,24.207548141479492
2020-02-03,214.3118896484375,25330.06640625,23.877695083618164
2020-02-04,219.2172088623047,25763.99609375,25.261245727539062
2020-02-05,219.9399871826172,25891.10546875,25.288734436035156
2020-02-06,221.83853149414062,26662.53125,25.178781509399414
2020-02-07,220.8844451904297,26438.998046875,25.059667587280273
2020-02-10,223.55398559570312,26298.734375,25.627748489379883
2020-02-11,223.5924835205078,26552.9609375,25.985088348388672
2020-02-12,225.77052307128906,26772.11328125,26.324106216430664
2020-02-13,225.48138427734375,26706.361328125,25.756023406982422
2020-02-14,226.1270751953125,26868.541015625,25.994253158569336
2020-02-17,226.1270751953125,26846.625,25.994253158569336
2020-02-18,226.2137908935547,26421.462890625,26.30577850341797
2020-02-19,228.38214111328125,26469.677734375,26.470705032348633
2020-02-20,226.2620086669922,26333.80078125,26.589818954467773
2020-02-21,221.91561889648438,25956.853515625,26.947160720825195
2020-02-24,213.35775756835938,24979.41796875,26.360754013061523
2020-02-25,207.5562286376953,25255.5546875,26.324106216430664
2020-02-26,208.6259002685547,24887.369140625,26.598979949951172
2020-02-27,198.17921447753906,24628.765625,26.626468658447266
2020-02-28,198.33346557617188,23835.41796875,26.17750358581543
2020-03-02,208.56808471679688,24063.345703125,27.084598541259766
2020-03-03,201.87991333007812,24172.921875,27.038785934448242
2020-03-04,210.30279541015625,24720.8125,27.551891326904297
2020-03-05,203.913330078125,24939.96875,27.61602783203125
2020-03-06,200.4728546142578,24440.294921875,27.020462036132812
2020-03-09,186.5471649169922,23410.2578125,26.31494140625
2020-03-10,196.70472717285156,23541.751953125,27.570215225219727
2020-03-11,188.13723754882812,22840.453125,26.544004440307617
2020-03-12,170.8866729736328,22073.40625,24.89474105834961
2020-03-13,185.3617401123047,21503.599609375,26.223316192626953
2020-03-16,163.15765380859375,20723.40234375,23.337100982666016
2020-03-17,175.5318145751953,20258.79296875,24.56488800048828
2020-03-18,170.19281005859375,19145.482421875,23.254638671875
2020-03-19,171.21432495117188,17742.880859375,23.50202751159668
2020-03-20,164.50685119628906,19106.03125,22.585771560668945
2020-03-23,164.6256561279297,17983.95703125,22.77818489074707
2020-03-24,177.37384033203125,19653.92578125,23.85020637512207
2020-03-25,176.0603790283203,20780.376953125,24.005971908569336
2020-03-26,185.33180236816406,20377.13671875,24.56488800048828
2020-03-27,178.957763671875,20868.044921875,23.566165924072266
2020-03-30,185.46701049804688,20745.3203125,23.978483200073242
2020-03-31,183.88314819335938,21113.501953125,23.72193145751953
2020-04-01,176.07003784179688,20122.919921875,23.309614181518555
2020-04-02,179.6433868408203,20740.935546875,24.1800594329834
2020-04-03,177.0938262939453,20688.341796875,23.98764419555664
2020-04-06,189.7550506591797,21512.361328125,24.574050903320312
2020-04-07,189.6777801513672,21849.87109375,24.24419593811035
2020-04-08,193.70509338378906,21529.8984375,24.509912490844727
2020-04-09,193.98516845703125,21871.783203125,24.464101791381836
2020-04-10,193.98516845703125,22055.875,24.464101791381836
2020-04-13,196.0808563232422,21678.921875,24.28084945678711
2020-04-14,204.6086883544922,22055.875,24.775630950927734
2020-04-15,202.26181030273438,22055.875,24.271684646606445
2020-04-16,205.95106506347656,22055.875,24.381637573242188
2020-04-17,207.9212646484375,22726.486328125,24.720651626586914
2020-04-20,205.45852661132812,22454.740234375,24.66567611694336
2020-04-21,197.877197265625,22204.8984375,24.271684646606445
2020-04-22,203.7491455078125,22397.7578125,24.766468048095703
2020-04-23,203.31454467773438,22616.916015625,24.693166732788086
2020-04-24,206.5208740234375,22279.408203125,24.574050903320312
2020-04-27,208.18202209472656,22722.107421875,24.80311393737793
2020-04-28,204.260986328125,22860.25390625,24.84893035888672
2020-04-29,211.5042724609375,23011.759765625,25.142131805419922
2020-04-30,211.41737365722656,23011.759765625,24.66567611694336
2020-05-01,205.45852661132812,23011.759765625,23.81355857849121
2020-05-04,207.85365295410156,22312.138671875,23.95099639892578
2020-05-05,210.21014404296875,22312.138671875,24.29917335510254
2020-05-06,211.5042724609375,22726.5625,25.02301788330078
2020-05-07,214.22772216796875,22673.0859375,25.34370994567871
2020-05-08,217.16366577148438,22869.162109375,25.655237197875977
2020-05-11,219.1049041748047,22704.283203125,25.3895206451416
2020-05-12,214.51751708984375,22543.861328125,25.453657150268555
2020-05-13,211.8326873779297,22802.314453125,25.34370994567871
