Date,US_QQQ_Close,KR_KODEX_Close,CN_FXI_Close
2020-01-02,208.3175506591797,25786.380859375,39.144710540771484
2020-01-03,206.40939331054688,25782.00390625,38.298667907714844
2020-01-06,207.73931884765625,25585.09375,38.48182678222656
2020-01-07,207.71043395996094,25843.265625,38.385887145996094
2020-01-08,209.2716064453125,25676.98828125,38.35972213745117
2020-01-09,211.04489135742188,26105.80859375,38.7086067199707
2020-01-10,210.5052032470703,26320.220703125,38.830718994140625
2020-01-13,212.9337615966797,26591.5234375,39.49359130859375
2020-01-14,212.09532165527344,26718.41796875,39.09238052368164
2020-01-15,212.1820526123047,26560.89453125,38.87431716918945
2020-01-16,214.2154998779297,26832.185546875,39.162147521972656
2020-01-17,215.275634765625,26893.451171875,39.34531784057617
2020-01-20,215.275634765625,27094.736328125,39.34531784057617
2020-01-21,215.17921447753906,26792.806640625,37.496238708496094
2020-01-22,215.74783325195312,27147.244140625,37.91489791870117
2020-01-23,216.44171142578125,26792.806640625,37.42646026611328
2020-01-24,214.6202392578125,26792.806640625,36.93802261352539
2020-01-27,210.1871795654297,26792.806640625,35.47270202636719
2020-01-28,213.41558837890625,25978.908203125,35.71693420410156
2020-01-29,213.76254272460938,26066.4296875,35.93498611450195
2020-01-30,214.52391052246094,25575.51953125,35.49015808105469
2020-01-31,211.1219482421875,25303.763671875,34.66156005859375
2020-02-03,214.31187438964844,25330.0625,35.00171661376953
2020-02-04,219.21719360351562,25763.99609375,35.943702697753906
2020-02-05,219.94000244140625,25891.109375,36.06581115722656
2020-02-06,221.8385467529297,26662.537109375,36.310035705566406
2020-02-07,220.8844451904297,26438.99609375,35.9873161315918
2020-02-10,223.553955078125,26298.732421875,36.1966438293457
2020-02-11,223.5924835205078,26552.9609375,36.8944091796875
2020-02-12,225.77047729492188,26772.109375,37.391571044921875
2020-02-13,225.4813690185547,26706.365234375,36.90313720703125
2020-02-14,226.12705993652344,26868.541015625,36.86824417114258
2020-02-17,226.12705993652344,26846.62890625,36.86824417114258
2020-02-18,226.21383666992188,26421.458984375,36.789737701416016
2020-02-19,228.38217163085938,26469.67578125,37.042686462402344
2020-02-20,226.2620086669922,26333.80078125,36.65019607543945
2020-02-21,221.91563415527344,25956.849609375,36.65019607543945
2020-02-24,213.35781860351562,24979.4140625,35.35060119628906
2020-02-25,207.5561981201172,25255.5546875,35.010440826416016
2020-02-26,208.62594604492188,24887.369140625,35.516319274902344
2020-02-27,198.17921447753906,24628.765625,35.24593734741211
2020-02-28,198.3333740234375,23835.41796875,35.463993072509766
2020-03-02,208.568115234375,24063.33984375,35.830322265625
2020-03-03,201.8798828125,24172.921875,35.60354232788086
2020-03-04,210.30279541015625,24720.810546875,35.9873161315918
2020-03-05,203.91336059570312,24939.96875,35.830322265625
