Date,US_SQQQ_Close,KR_INVERSE_Close,VIX_Close,Interest_Rate
2020-01-02,10704.9326171875,6265.0,12.470000267028809,1.8819999694824219
2020-01-03,10991.404296875,6280.0,14.020000457763672,1.7879999876022339
2020-01-06,10780.3203125,6370.0,13.850000381469727,1.8109999895095825
2020-01-07,10785.3466796875,6235.0,13.789999961853027,1.8270000219345093
2020-01-08,10544.1083984375,6325.0,13.449999809265137,1.8739999532699585
2020-01-09,10277.7412109375,6110.0,12.539999961853027,1.8580000400543213
2020-01-10,10363.1796875,6005.0,12.5600004196167,1.8250000476837158
2020-01-13,10001.3232421875,5870.0,12.319999694824219,1.8480000495910645
2020-01-14,10121.9423828125,5825.0,12.390000343322754,1.8179999589920044
2020-01-15,10116.9150390625,5895.0,12.420000076293945,1.7879999876022339
2020-01-16,9830.4453125,5775.0,12.319999694824219,1.809000015258789
2020-01-17,9679.671875,5745.0,12.100000381469727,1.8359999656677246
2020-01-20,9679.671875,5655.0,12.100000381469727,1.8359999656677246
2020-01-21,9699.77734375,5795.0,12.850000381469727,1.7690000534057617
2020-01-22,9624.388671875,5635.0,12.90999984741211,1.7690000534057617
2020-01-23,9533.9248046875,5775.0,12.979999542236328,1.7400000095367432
2020-01-24,9780.1884765625,5775.0,14.5600004196167,1.680999994277954
2020-01-27,10383.28125,5775.0,18.229999542236328,1.6050000190734863
2020-01-28,9905.83203125,6130.0,16.280000686645508,1.6410000324249268
2020-01-29,9865.626953125,6095.0,16.389999389648438,1.593999981880188
2020-01-30,9755.060546875,6330.0,15.489999771118164,1.5579999685287476
2020-01-31,10232.5078125,6480.0,18.84000015258789,1.5199999809265137
2020-02-03,9770.13671875,6465.0,17.969999313354492,1.5199999809265137
2020-02-04,9101.708984375,6230.0,16.049999237060547,1.6030000448226929
2020-02-05,8996.166015625,6180.0,15.149999618530273,1.6490000486373901
2020-02-06,8775.0302734375,5800.0,14.960000038146973,1.6440000534057617
2020-02-07,8885.59765625,5895.0,15.470000267028809,1.5779999494552612
2020-02-10,8563.947265625,5960.0,15.039999961853027,1.5470000505447388
2020-02-11,8563.947265625,5840.0,15.180000305175781,1.590000033378601
2020-02-12,8317.685546875,5745.0,13.739999771118164,1.6299999952316284
2020-02-13,8352.8642578125,5790.0,14.149999618530273,1.6169999837875366
2020-02-14,8287.5283203125,5700.0,13.680000305175781,1.5880000591278076
2020-02-17,8287.5283203125,5695.0,13.680000305175781,1.5880000591278076
2020-02-18,8267.42578125,5900.0,14.829999923706055,1.555999994277954
2020-02-19,8036.2392578125,5875.0,14.380000114440918,1.5700000524520874
2020-02-20,8267.42578125,5930.0,15.5600004196167,1.524999976158142
